ruta,xkoordsw,ykoordsw,cl1_sum,cl2_sum,cl3_sum,cl4_sum,cl5_sum,cl6_sum,cl7_sum,cl8_sum,cl9_sum,cl10_sum,cl11_sum,cl12_sum,cl13_sum,cl14_sum,cl15_sum,cl16_sum,cl17_sum,cl18_sum,cl19_sum,cl20_sum,cl21_sum,cl22_sum,cl23_sum,cl24_sum,cl25_sum,cl26_sum,cl27_sum,cl28_sum,cl29_sum,cl30_sum,cl31_sum,cl32_sum,cl33_sum,cl34_sum,cl35_sum,cl36_sum,cl37_sum,cl38_sum,cl39_sum,cl40_sum,population2019,Column 45
250,6134000,393250,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1000,6134000,397000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
250,6135000,389750,2,0,0,1,1,1,0,2,0,1,1,2,2,1,0,1,0,1,0,0,1,3,2,3,1,2,2,1,2,4,2,1,0,1,1,2,3,3,4,0,49,54
1000,6135000,393000,1,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,1,1,0,0,1,0,1,2,0,0,1,1,2,0,2,0,0,0,0,1,1,0,2,23,23
250,6135750,388500,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,7
250,6136000,388000,2,2,1,5,3,2,2,8,2,3,4,1,4,1,4,3,1,2,0,4,4,3,3,2,1,2,6,2,5,6,0,3,1,8,10,3,1,6,3,4,127,127
1000,6136000,398000,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6,11
250,6136000,400250,4,1,2,1,1,3,3,2,2,2,1,2,1,0,2,0,1,1,1,0,0,2,1,1,2,1,1,2,4,1,2,1,1,0,1,2,2,0,2,1,43,57
250,6136000,400500,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,14,7
250,6136750,386500,0,1,2,7,5,5,1,5,1,1,2,0,5,3,2,3,4,1,4,4,0,1,2,3,1,3,1,3,3,3,2,3,5,3,1,3,2,2,2,3,110,102
250,6136750,387000,4,4,4,4,0,1,2,4,1,4,5,2,1,0,2,3,4,1,0,1,4,0,3,4,4,2,1,2,2,3,6,4,4,4,5,2,5,2,3,4,130,111
250,6136750,387250,5,3,1,1,3,4,4,2,4,2,0,2,4,0,1,2,0,0,4,0,2,2,0,2,1,1,0,2,2,0,2,2,1,4,3,1,4,2,1,1,80,75
250,6136750,387500,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,20,17
250,6136750,401250,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
1000,6137000,377000,0,1,0,4,2,1,0,3,0,0,1,0,3,2,4,2,4,1,1,2,0,0,3,2,0,0,2,0,3,1,0,3,0,1,0,1,2,0,0,0,43,49
1000,6137000,378000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,4
250,6137000,402000,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,7
250,6137500,384750,2,2,4,0,0,1,1,1,6,1,2,2,3,3,0,2,4,0,1,5,2,0,2,2,3,3,4,2,4,1,3,0,1,3,2,4,3,2,1,2,82,84
250,6137750,383750,17,6,7,6,6,10,12,9,6,7,6,7,6,11,5,2,5,7,12,11,5,8,5,15,1,7,10,10,12,10,3,7,10,5,11,16,6,5,9,9,321,322
250,6137750,385000,8,11,9,5,5,4,4,7,5,2,4,2,6,4,9,6,4,6,5,5,4,5,5,8,3,9,5,3,4,6,7,4,3,2,7,6,7,5,4,8,227,216
250,6137750,402250,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,18,10
250,6138000,383250,6,5,4,5,2,7,9,4,5,3,4,0,2,4,2,5,6,4,5,4,3,4,5,6,7,6,5,6,3,6,2,3,6,7,7,5,3,5,8,6,173,189
1000,6138000,388000,1,1,2,1,3,2,2,3,3,0,2,0,2,5,5,1,2,1,2,2,3,3,3,1,1,0,4,3,2,1,1,3,3,3,2,0,2,0,6,2,84,83
250,6138250,381500,1,6,2,3,2,2,2,1,2,2,3,3,2,1,2,1,2,4,2,1,2,6,2,1,0,2,2,1,3,2,1,1,2,1,1,4,1,1,1,1,79,79
250,6138250,382250,5,6,6,7,3,1,7,7,4,3,11,8,7,11,5,9,7,8,7,5,4,1,3,3,6,7,7,4,4,6,10,5,6,7,5,2,4,2,5,7,235,225
250,6138250,382500,8,4,7,2,4,7,3,3,5,6,8,4,7,8,5,8,8,6,5,10,6,4,5,9,1,8,2,7,6,6,5,6,7,5,2,9,5,5,9,4,234,229
250,6138250,383500,10,7,12,13,15,8,13,8,16,10,10,9,6,7,11,17,13,11,17,8,8,13,12,8,11,15,9,11,11,10,6,10,5,17,11,7,12,10,6,11,460,424
250,6138500,383250,7,5,10,5,5,5,4,7,5,2,2,6,8,2,9,7,5,4,2,3,2,2,4,2,2,6,8,4,4,5,5,4,5,5,3,6,8,7,7,3,213,195
250,6138750,381500,3,3,6,4,6,9,4,4,4,4,2,1,5,7,3,6,4,3,4,2,4,6,2,5,2,2,4,2,1,3,2,3,3,3,4,3,2,6,1,1,154,143
250,6138750,382250,2,3,1,1,5,2,2,4,5,5,4,3,0,2,4,2,1,3,3,1,1,4,2,1,4,4,1,3,4,1,2,3,5,0,2,5,0,2,2,5,93,104
250,6139000,380000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,6,9
250,6139000,383750,3,5,0,0,3,3,1,0,1,2,5,8,3,6,4,7,3,2,3,3,2,1,4,3,1,3,2,3,3,6,5,4,3,3,1,5,3,2,2,2,124,120
1000,6139000,387000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,7
250,6139250,380750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
250,6139500,383000,3,9,6,9,8,6,10,8,7,8,7,12,12,12,13,8,9,7,2,3,9,7,7,11,6,6,6,10,5,3,7,3,13,8,10,11,5,4,9,8,268,307
250,6140000,411500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,7,8
250,6140250,367750,1,1,0,0,0,0,0,1,0,2,0,0,2,1,1,1,2,1,1,1,2,0,0,0,0,2,1,0,1,0,2,1,2,4,1,0,0,1,0,0,23,32
250,6140250,396250,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
250,6140500,410750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,4
250,6140750,367500,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,2,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,2,21,22
250,6141000,364500,0,2,1,0,1,0,0,0,1,1,2,0,3,1,1,0,2,1,1,1,2,0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,2,1,27,34
1000,6141000,376000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4
250,6141250,370500,1,2,1,0,0,1,0,1,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,2,0,0,1,0,1,2,2,0,0,1,1,0,2,19,27
250,6141500,370500,0,1,0,0,0,1,2,1,1,4,1,1,1,3,0,1,0,1,0,0,0,2,2,2,1,1,1,1,3,5,0,3,2,1,0,1,1,4,2,1,60,51
250,6141750,370500,2,2,1,3,5,3,0,0,2,1,0,5,5,3,0,5,2,3,2,0,3,1,1,3,3,1,1,3,3,4,5,2,4,3,1,4,3,3,2,1,83,95
250,6141750,379500,0,2,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,10
250,6142000,368750,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,2,2,1,1,2,0,1,1,2,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,1,34,28
250,6142000,370250,2,2,0,5,0,4,1,5,1,7,2,0,1,2,0,3,4,3,0,5,2,0,0,2,0,3,5,1,1,1,4,5,2,4,3,3,6,2,4,3,91,98
250,6142000,378000,1,0,2,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0,29,20
1000,6142000,405000,2,3,3,3,1,1,0,2,3,2,2,1,1,0,3,1,2,3,0,1,1,3,1,3,0,2,3,2,0,1,3,2,1,3,0,1,2,1,1,0,56,64
1000,6142000,441000,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,11
1000,6142000,442000,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,2,0,1,0,1,0,23,19
250,6142250,363250,1,4,2,4,1,2,4,3,2,1,4,0,3,3,0,1,2,4,3,0,2,3,0,1,2,1,0,4,0,4,1,2,3,2,2,1,3,1,0,1,71,77
250,6142250,370000,2,2,2,1,3,2,4,3,0,1,2,2,2,2,2,2,3,5,1,1,0,4,5,3,0,8,2,2,4,2,0,2,4,4,0,1,2,3,5,5,96,98
250,6142250,370500,2,1,2,5,0,3,3,6,2,0,3,4,0,3,3,2,2,2,0,1,2,2,1,1,0,8,1,1,2,3,1,1,0,3,4,0,0,3,4,2,83,83
250,6142750,409000,1,1,0,3,1,0,1,0,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,4,1,0,0,1,0,0,0,0,1,25,25
250,6142750,419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
1000,6143000,362000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
250,6143000,364750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
250,6143000,370750,8,4,3,5,3,5,4,2,2,1,6,4,5,5,2,4,4,2,1,1,2,2,1,2,2,3,5,1,3,4,3,4,2,3,2,3,5,1,1,5,104,125
250,6143000,408750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
250,6143000,423250,1,3,4,1,1,2,1,1,4,1,3,1,3,2,0,2,3,2,1,1,1,3,3,3,1,1,0,0,3,3,0,1,2,2,0,2,1,0,0,2,80,65
250,6143000,424750,11,15,9,12,8,12,7,4,4,6,5,7,10,7,10,7,7,5,8,5,5,5,7,9,12,13,12,5,6,11,6,12,7,9,12,3,8,8,7,6,314,322
1000,6143000,449000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
250,6143250,363500,1,2,1,0,1,2,1,3,0,1,3,0,1,4,1,2,1,0,3,1,0,1,1,0,0,1,1,2,2,1,3,1,1,0,0,0,3,0,1,2,57,48
250,6143250,370250,2,2,1,0,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,24,24
250,6143500,370750,0,5,1,2,2,3,2,4,8,1,3,2,5,3,4,2,2,2,4,5,2,8,1,2,6,2,7,3,2,5,6,3,5,2,0,3,4,2,2,2,130,127
250,6143500,426500,5,2,2,1,2,3,7,4,0,5,2,1,7,5,8,3,6,4,2,4,4,3,5,4,3,3,2,3,3,4,2,3,6,3,5,6,3,2,4,5,139,146
250,6143500,433500,0,1,0,1,0,0,0,0,0,0,2,1,1,1,2,0,2,0,0,0,1,0,1,0,2,2,1,0,2,1,0,1,1,0,1,1,0,0,0,0,29,25
250,6143750,423250,1,0,2,1,0,1,3,0,0,1,1,0,1,1,2,0,2,0,2,2,2,0,2,0,1,1,0,0,2,1,0,0,0,0,1,1,1,2,4,1,50,39
250,6143750,433250,0,1,1,3,3,0,1,0,0,1,1,0,1,2,1,0,1,0,0,1,0,0,1,0,1,2,0,0,1,1,0,0,0,1,1,0,3,3,1,4,42,36
250,6144000,370250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1000,6144000,397000,0,1,0,1,2,1,1,0,3,2,2,0,0,0,2,2,1,0,1,2,0,1,0,0,2,0,0,1,1,3,1,1,2,1,0,1,0,0,0,1,34,36
1000,6144000,409000,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7
